Reach_ID,Node_ID,X,Y,Time (dd-mm-yyyy),Q (m^3/s daily),Qu (m),D (m),Du (m),V (m/s),Vu (m/s)
71120000013,-9999,-89.160736428011300,37.039336754446500,'20-08-2010',3761.79168,-9999,-9999,-9999,-9999,-9999
74261000011,-9999,-89.160736428011300,37.039336754446500,    '10-09-2010',2007.184997,-9999,-9999,-9999,-9999,-9999
74261000011,-9999,-89.160736428011300,37.039336754446500,    '01-10-2010',1716.948296,-9999,-9999,-9999,-9999,-9999
74261000011,-9999,-89.160736428011300,37.039336754446500,    '22-10-2010',2229.412448,-9999,-9999,-9999,-9999,-9999
74261000011,-9999,-89.160736428011300,37.039336754446500,    '12-11-2010',2215.178827,-9999,-9999,-9999,-9999,-9999
74261000011,-9999,-89.160736428011300,37.039336754446500,    '03-12-2010',8125.148597,-9999,-9999,-9999,-9999,-9999
74261000011,-9999,-89.160736428011300,37.039336754446500,    '23-12-2010',5680.818256,-9999,-9999,-9999,-9999,-9999
74261000011,-9999,-89.160736428011300,37.039336754446500,    '13-01-2011',5724.463015,-9999,-9999,-9999,-9999,-9999
74261000011,-9999,-89.160736428011300,37.039336754446500,    '03-02-2011',6253.772086,-9999,-9999,-9999,-9999,-9999
74261000011,-9999,-89.160736428011300,37.039336754446500,    '24-02-2011',8423.598206,-9999,-9999,-9999,-9999,-9999
74261000011,-9999,-89.160736428011300,37.039336754446500,    '17-03-2011',30553.31199,-9999,-9999,-9999,-9999,-9999
74261000011,-9999,-89.160736428011300,37.039336754446500,    '07-04-2011',11131.84313,-9999,-9999,-9999,-9999,-9999
74261000011,-9999,-89.160736428011300,37.039336754446500,    '28-04-2011',29080.51829,-9999,-9999,-9999,-9999,-9999
74261000011,-9999,-89.160736428011300,37.039336754446500,    '19-05-2011',22100.65008,-9999,-9999,-9999,-9999,-9999
74261000011,-9999,-89.160736428011300,37.039336754446500,    '08-06-2011',6719.033444,-9999,-9999,-9999,-9999,-9999
74261000011,-9999,-89.160736428011300,37.039336754446500,    '29-06-2011',8777.241292,-9999,-9999,-9999,-9999,-9999
74261000011,-9999,-89.160736428011300,37.039336754446500,    '20-07-2011',4060.9064,-9999,-9999,-9999,-9999,-9999
74261000011,-9999,-89.160736428011300,37.039336754446500,    '10-08-2011',2753.422636,-9999,-9999,-9999,-9999,-9999
74267400011,74267400010011,-85.184248251725100,38.684855200023600,'29-08-2010',33.47858906,-9999,-9999,-9999,-9999,-9999
74267400011,74267400010021,-85.184248251725100,38.684855200023600,    '30-08-2010',28.44368553,-9999,-9999,-9999,-9999,-9999
74267400011,74267400010031,-85.184248251725100,38.684855200023600,    '19-09-2010',16.74942493,-9999,-9999,-9999,-9999,-9999
74267400011,74267400010041,-85.184248251725100,38.684855200023600,    '20-09-2010',16.00499153,-9999,-9999,-9999,-9999,-9999
